File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
wireshark-1.12.13/packaging/macosx/ScriptExec/main.c,215,31,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","                link_length = readlink(""/usr/X11"", symlink_target, MAXPATHLEN);",295755547c292cb5dc4277b6b4851debfb97e19dea6bf196f146e85b2642837d
wireshark-1.12.13/wsutil/file_util.c,631,10,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)",,,CWE-732,"	    if (SetSecurityDescriptorDacl(sec_attributes_->lpSecurityDescriptor, TRUE, NULL, FALSE)) {",1d2f994c7ae608a12b3cfa0729d122c5c3c634bd6005b0a15cf01773ef5a7db2
wireshark-1.12.13/wsutil/file_util.c,631,10,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)",,,CWE-732,"	    if (SetSecurityDescriptorDacl(sec_attributes_->lpSecurityDescriptor, TRUE, NULL, FALSE)) {",1d2f994c7ae608a12b3cfa0729d122c5c3c634bd6005b0a15cf01773ef5a7db2
wireshark-1.12.13/wsutil/filesystem.c,406,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/self/exe"", executable_path, PATH_MAX)) == -1)",9595580251608fbb062e1c8403c530c9233058e2e702645fe2427fb4c83d6797
wireshark-1.12.13/wsutil/filesystem.c,449,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/curproc/exe"", executable_path, PATH_MAX)) == -1)",b665afaded71d1b0e3dde2d212817d3fe73f55d0fb5a2990663113c7f0eb517b
wireshark-1.12.13/wsutil/filesystem.c,463,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/curproc/file"", executable_path, PATH_MAX)) == -1)",5665e88ee83ee6e4ba8a017b76fb85f88aed4647f4fe0e9c2aec1e8b13b07b67
wireshark-1.12.13/airpcap_loader.c,1550,9,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    a = sscanf(if_info->name,AIRPCAP_DEVICE_NUMBER_EXTRACT_STRING,&n);",701317050a72078c975ef478dd1b128457fdd5151074ee973082335715af7a23
wireshark-1.12.13/asn1/camel/packet-camel-template.c,324,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
wireshark-1.12.13/asn1/ldap/packet-ldap-template.c,1741,76,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"ldap_specific_rights(tvbuff_t *tvb, gint offset, proto_tree *tree, guint32 access)",b6cb81cb26407afb1843de3561c61dcdcae085f17f282931e52be89c8a139d60
wireshark-1.12.13/asn1/ldap/packet-ldap-template.c,1743,86,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	proto_tree_add_boolean(tree, hf_ldap_AccessMask_ADS_CONTROL_ACCESS, tvb, offset, 4, access);",b9f9dbe0b51f31889d5608581958ae754732b3b84b6093099477cbf32941ba70
wireshark-1.12.13/asn1/ldap/packet-ldap-template.c,1745,83,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	proto_tree_add_boolean(tree, hf_ldap_AccessMask_ADS_LIST_OBJECT, tvb, offset, 4, access);",38186990dbf429ad50612f8355cde51aa5d63c1752c86336b66e7a213fdecf3b
wireshark-1.12.13/asn1/ldap/packet-ldap-template.c,1747,83,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	proto_tree_add_boolean(tree, hf_ldap_AccessMask_ADS_DELETE_TREE, tvb, offset, 4, access);",d9c6eed0507e418ece41580a1ef473ed8a1ba655c6b1c04d16e90ee5eeafdc13
wireshark-1.12.13/asn1/ldap/packet-ldap-template.c,1749,82,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	proto_tree_add_boolean(tree, hf_ldap_AccessMask_ADS_WRITE_PROP, tvb, offset, 4, access);",b913ea4192fbeda1b90215a3912d476f08c8a36347b11fe9d1badde6c837da4c
